video_id,title,description,author,source,embedded,creation_date,transcript
T7Eh7QMDsEs,37. Parteitag der CDU Deutschlands | Wieder nach vorne,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=T7Eh7QMDsEs,True,2025-01-28T15:38:31Z,
obSGzwD9dUE,37. Parteitag der CDU Deutschlands | Wieder nach vorne,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=obSGzwD9dUE,True,2025-01-28T15:36:48Z,
DG7lJTIsJRQ,Pressekonferenz mit Friedrich Merz und Carsten Linnemann,#cdu #politikwechsel #wiedernachvorne,CDU,https://www.youtube.com/watch?v=DG7lJTIsJRQ,True,2025-01-27T11:22:30Z,[Musik] Karsten linemann Herr linemann bitte ja ich darf Sie herzlich willkommen heißen im Konrad adenauhaus wir haben getagt das Präsidium hat getagt der Bundesvorstand hat getagt und wir sind uns völlig einig dass es dringend eine grundlegende Kurskorrektur in Deutschland in der Migrationspolitik braucht wir wollen und wir werden die illegale Migration stoppen müssen erster Punkt zweiter Punkt wir erleben im Moment in der Partei einen unglaublichen Zuspruch friedrich mehz hatte am Wochenende vier Wahlkampfveranstaltung mit fast 7000 Zuhörerinnen und Zuhörern wir haben die Situation dass Menschen zum Teil nicht reinkamen vor der Tür standen wir haben die Situation hier im Haus dass allein 200 Mitgliedsanträge am Wochenende hier im adenhaus eingingen wir erleben eine ähnliche Dynamik auf Landes Ebene und in den Kreisverbänden entsprechendes Spiegelbild sind die Zuschriften die wir erhalten meine sehr verhrten Damen und Herren der dritte Punkt das selbst ein Mitglied der Bundesregierung ein Nazivergleich an einem solchen Tag wie heute ausübt das ist eine vollkommene Entgleisung und an einem solchen Tag wie heute müsste dieses Mitglied der Bundesregierung eigentlich entlassen werden das gehört sich nicht ja meine Damen und Herren vielleicht ergänzend noch zu dieser Woche wir alle stehen ja unverändert unter dem Eindruck dieses dieser schrecklichen Tat am letzten Mittwoch in chaffenburg diese Tat reih sich ein in eine ganze Serie von Straftaten dieser Art die wir seit langer Zeit erleben ich habe das in der letzten Woche Donnerstag in Berlin gesagt und will das hier noch einmal wiederholen es ist jetzt wirklich Zeit Entscheidungen zu treffen wir haben am Mittwoch eine Aussprache über die Regierungserklärung des Bundeskanzlers es wird von uns dazu zwei Anträge geben die wir vorlegen zur Migration wir werden aber in dieser Woche auch noch einen Gesetzentwurf vorlegen sehen Sie mir nach dass ich noch nicht abschließend sagen kann worüber wir da zu entscheiden haben weil wir das im geschäftsführenden Fraktionsvorstand und im Fraktionsvorstand heute Nachmittag noch besprechen und entscheiden müssen aber es wird dann jedem Fall in dieser Woche ein Gesetzentwurf im Deutschen Bundestag zur Begrenzung der illegalen Migration von uns geben und wir werden diesen Antrag auch zur Abstimmung stellen ich will erneut mein Angebot an die Sozialdemokraten und die Grünen aber auch die FDP erneuern äh diesen Weg mit uns zu gehen ich suche keine anderen Mehrheiten im Deutschen Bundestag sondern ich möchte dass die Sozialdemokraten und die Grünen und auch die FDP jetzt äh wirklich zur Vernunft kommen und Maßnahmen ergreifen gesetzgeberische Maßnahmen ergreifen die uns die Möglichkeit geben die nach wie vor viel zu hohen Zahlen der illegalen Migration nach Deutschland äh drastisch zu reduzieren ich weiß dass das nicht alles über Nacht geht aber kann so nicht bleiben dies schließt auch ein eine konsequente Rückführung derer die ausreisepflichtig sind ich habe am letzten Donnerstag darauf hingewiesen will das hier noch einmal wiederholen wir haben zurzeit in Deutschland 40.000 vollziehbar ausreisepflichtige Asylbewerber die keinen duldungsanspruch haben mir hat am Wochenende ein Landrat aus dem Land BadenWürttemberg der gleichzeitig auch der Präsident des Landkreistages ist gesagt in in unseren Städten und Gemeinden laufen tickende Zeitbomben herum vor diesem Hintergrund ist es auch völlig unverantwortlich dass seit August letzten Jahres keine rückführungsflüge mehr nach Afghanistan stattgefunden haben angeblich plant die Bundesregierung jetzt einen für den Monat Februar ähm ich vermute mal es ist ähnlich wie im August letzten Jahres gut getimt vor einem Wahltermin im letzten Jahr war es der 1 September mit dem den Wahlen in Thüringen und in Sachsen jetzt wird es möglicherweise der bundestagswahltermin sein am 23 Februar aber wenn in der Zwischenzeit über 5 Monate keine rückführungsflüge nach Afghanistan stattgefunden haben dann zeigt das dass die Bundesregierung offensichtlich nicht gewillt und nicht in der Lage ist das Problem zu lösen meine an Aufforderung richtet sich da also noch mal an den Bundeskanzler nicht erneut eine Regierungserklärung allein abzugeben sondern jetzt wirklich Entscheidungen zu treffen die die illegale Migration in unser Land beenden sie kennen meine Meinung auch zu den Zurückweisungen an den Grenzen wir haben das heute morgen im Bundesvorstand ausführlich diskutiert auch der Kollege Krings hat sich dazu noch einmal als unser rechtspolitischer Sprecher zu Wort gemeldet und auch darauf hingewiesen dass schon das Europarecht Zurückweisungen zulässt wir gar nicht auf nationales rechtte zurückgreifen müssten es ist aber hier keine rechtspolitische Erwägung sondern es ist eine Frage des politischen Willens so wie in anderen Ländern der Europäischen Union Dänemark sozialdemokratische Regierung Schweden Finnland die Niederlande selbst Frankreich und Italien sind in der Lage Stück für Stück dieses Problem in den Griff zu bekommen und nur Deutschland nicht das ist inakzeptabel ich will ihn abschließend sagen ich bin vollkommen erstaunt darüber dass die Grünen auf ihrem Parteitag jetzt hier Beschlüsse zur Wirtschaftspolitik und zur Migrationspolitik gefasst haben in der größten Krise unseres Landes fällt den Grünen nicht mehr ein als ein böllerverbot zu beschließen und in der größten migrationskrise unseres Landes fällt den Grünen nicht mehr ein als den Familiennachzug zu erleichtern muss sagen diese Leute leben nicht in dieser Welt sie haben offensichtlich wirklich keine Ahnung mehr davon was in der Wirtschaft los ist und was in unserer Gesellschaft los ist ich werde mit den Themen die wir haben und die seit letzter Woche Mittwoch eine neue Dringlichkeit erfahren haben in dieser Woche sehr konsequent durch den Deutschen Bundestag gehen und wir werden uns weder von den Sozialdemokraten noch von den Grünen ganz sicher auch nicht von der AFD sagen lassen welche Anträge welche Gesetzentwürfe wir im Deutschen Bundestag zur Abstimmung stellen das was in der Sache richtig ist wird nicht falsch dadurch dass die falschen zustimmen bei dieser klaren Positionierung bleibt es wir werden darüber dann gegebenenfalls am Freitag auch Abstimmungen im Deutschen Bundestag haben und dann liegt es an der SPD an den Grünen und an der FDP zu verhindern dass es Mehrheiten gibt die keiner von uns will aber ich sag ihn auch ganz offen dazu der Zeitpunkt ist jetzt überschritten wo wir in Deutschland nur noch nach taktischen Gesichtspunkten Entscheidungen treffen jetzt muss in der Sache entschieden werden und auch wenn ich dann zum Teil sogar aus Teilen der Medien hier diffarmiert werde mit nazergleichen sag das einm an die Anwesenden Kolleginnen und Kollegen der Süddeutschen Zeitung dass ich ja als Führer bezeichnet werde und dem Generalsekretär der CDU deutsch hier mit siegeil geantwortet wird das ist eine solche Entgleisung und eine solche völlig inakzeptable Art und Weise der Auseinandersetzung die werde ich nicht akzeptieren ich lasse mich davon aber auch nicht beeindrucken herzlichen Dank dann kommen wir zu den Fragen es beginnt Herr blank von dpa bitte ja danke schön Herr März sie hatten am Wochenende die Anträge an SPD Grüne und FDP übermittelt hat es da eine Reaktion gegeben außer den öffentlichen und die zweite Frage heute Mittag früher Nachmittag sollte es eine Besprechung der Fraktionsvorsitzenden soweit ich weiß geben zuur ukrainehilfe die ist wohl abgesagt die ukrainehilfe jetzt der migrations wegen der Migrationsdebatte unter die Redder das weiß ich nicht das bitte ich Sie einfach die restampel zu fragen ich bin bereit mit den Fraktionsvorsitzenden der FDP der Grünen und auch der SPD über diese Frage zu sprechen aber es gibt von dieser Seite aus bisher keine Rückmeldungen na es gibt auch keinen neuen Termin ich muss nachfragen warum der Termin von heute aufgehoben worden ist aber das hängt auch mit dem Umstand zusammen dass wir heute durch die Zeitpläne ein bisschen durcheinander geraten sind ich stehe bereit für diese Gespräche wenn sie gewünscht werden von der Union die erste Frage war Gespräch gab es ein Gespräch mit SPD Grünen und FDP am Wochenende nachdem sie übermittelt haben nein dann bitte Herr Rinke von Reuters Herr März Direktor anschließend wir hatten im Dezember ja eine Debatte was überhaupt auf die Tagesordnung des Bundestages kommt also ist denn überhaupt gesichert gibt's da zumind ist ein Einverständnis dass diese Anträge die sie einbringen aber auch die die die SPD oder die AFD einbringen auf der Tagesordnung landen und zweite Frage im Windschatten der Streits und Migrationspolitik gibt's ja anscheinend Einigung jetzt in etlichen bei etlichen Wirtschaftsthemen also Wind an Land Biogas KwK deswegen hätte ich ganz gerne noch mal nachgefragt können Sie das auch kurz kommentieren warum da jetzt plötzlich Einigung möglich sind und kommt da noch mehr z.B bei der Frage Netzentgelte oder andere Themen die noch offen sind ich sehe es bei den Netzentgelten im Augenblick nicht m bei den anderen Themen waren es kleinere Themen auch der nach der Entscheidung des Oberverwaltungsgerichts Münster vom 26 September 2024 notwendige Anpassung des bundesemission schutzgesetzes ist mit den Koalitionsfraktionen jetzt auf den Weg gebracht sass das Land nordrin-westfalen aber auch andere Bundesländer planungsoheit zurückgewinnen über die windvoranggebiete insofern gibt es da jetzt Einigung es gibt an dieser Stelle wie Sie sehen durchaus vernunftbereite Gespräche mit den Sozialdemokraten und auch mit den Grünen auch mit der FDP an dieser Stelle ist es möglich ich hoffe dass es an anderer Stelle auch möglich wird das betrifft jetzt vor allen die Migration und ich gebe die Hoffnung nicht auf dass wir im Laufe dieser Woche zu Entscheidungen kommen will allerdings auch klar und deutlich hinzufügen wir machen uns hier nicht von äh Blockaden der SPD und der Grünen abhängig die Lage im Land ist mittlerweile so schwierig und die Verunsicherung der Bevölkerung so groß dass niemand mehr dafür Verständnis hätte wenn wir allein jetzt über die Tagesordnung des Bundestages streiten und hier nicht zu Lösungen in der Sache [Musik] kommen wir werden unsere Anträge auf die Tagesordnung bringen ja dann Frau min vom redaktionsnetzwerk Deutschland bitte Herr MZ ich hätte noch eine Nachfrage zu den ausreisepflichtigen sie haben die 450.000 angesprochen und sie wollen ja auch dafür sorgen dass die dann in den ausreisegewahrsam kommen daavon gibt's ja aber ja nur 750 abschiebehhaftplätze wie lange würde das denn dauern diese abschiebehhaftplätze hochzusetzen also die Strukturen zu schaffen und haben sie mal ausgerechnet was das kosten würde jeder ausreisepflichtige Asylbewerber der in Deutschland Menschen umbringt kostet unser Land mehr als jede Bemühung um die Unterbringung in ausreisegewahrsam dieser Asylbewerber das kann keine kostennutzenrechnung werden sondern wir müssen jetzt Entscheidungen treffen und ich habe das am Donnerstag gesagt wiederhool das gerne hier noch einmal es sind containerbauten möglich wir haben leerstehende Kasernen in Deutschland wir könnten auf den auf dem Gelände von Gefängnissen auch unter Wahrung des trennungsgebotes entsprechende Container errichten dies darf nicht daran scheitern dass wir nicht die notwendige Infrastruktur herbeiführen um diese ausreisepflichtigen Asylbewerber jetzt in ausreisewahrsam zu nehmen und noch einmal insbesondere diejenigen die als Gefährder eingestuft werden und sie wissen ja aus den Fällen die wir jetzt diskutieren Solingen Mannheim auch Magdeburg anderes Täterprofil aber jetzt erschaffenburg diese Personen sind ja alle bisher den Behörden bereits bekannt gewesen so und diese bekannten Personen die eine Gefährdung für die öffentliche Sicherheit und Ordnung unseres Landes darzustellen darstellen nicht in Gewahrsam nehmen zu können weil es angeblich nicht genugen Plätze gibt in einem Land mit 80 über 80 Millionen Einwohnern mit verlaubt das ist völlig inakzeptabel diese Unterbringungsmöglichkeiten die müssen so schnell wie möglich gescha werden und es muss eben wirklich jetzt das passieren was der Bundeskanzler in seinem spiegelinterview Ende 2023 ja angekündigt hat nämlich in großem Stil abzuschieben das ist unvermeidlich wenn wir die innere Sicherheit und wenn wir vor allem den gesellschaftlichen Frieden in unserem Land erhalten wollen dann machen wir noch zwei Fragen Herr Haug vom ARD Radio Herr sie haben gestern im ZF und jetzt heute auch noch mal die Nachbarn oder die europäischen Nachbarn erwähnt die das eben hinbekommen würden mit dieser Rücküberweisung oder Zurückweisung an den Grenzen ist das denn tatsächlich so also beispielsweise bei den Niederländern gab es ja da auch was diese notstandsverordnung angeht durchaus auch juristische Fragen also findet es tatsächlich in den europäischen Nachbarländern so statt wie sie das gesagt haben es gibt natürlich in den europäischen Nachbarländern ähm Fragen die an uns auch an mich gerichtet werden sie erinnern sich wir hatten am vorletzten Wochenende hier im Haus die Vorsitzenden der EVP mitgliedsparteien darunter waren eine ganze Reihe von Staats- und Regierungschefs ich habe auch mit Donald Tusk über diese Frage vor einigen Wochen schon einmal gesprochen als das in Deutschland schon einmal ein Thema war diese Staaten weisen ja ihrerseits auch an den Außengrenzen der Europäischen Union zurück so wir würden also auch einen entsprechenden kaskadeneffekt auslösen wenn wir zurückweisen weisen auch andere zurück nur zur Zeit wird überwiegend durchgewunken die meisten kommen nach Deutschland so wie sie es ja auch wollen und die Mitgliedstaaten der Europäischen Union die eigentlich die Länder des erstzutritt sind also diejenigen die europäische Außengrenzen haben machen von der Verpflichtung die sie haben nämlich zu registrieren und aufzunehmen anschließend zu verteilen praktisch keinen Gebrauch sie machen sich es auf Kosten der Bundesrepublik Deutschland leicht so und deswegen reden wir miteinander aber ich glaube dass wir jetzt nicht nur reden dürfen wir müssen handeln und wir müssen wirklich Schaden von unserem Land abwenden der schon viel zu groß ist und so wie eingetreten ist nicht akzeptabel bleibt dann kommt die letzte Frage von Frau siet von T online bitte vielen Dank Herr Merz gab es auch eine Debatte darüber was das wirtschaftlich bedeutet wenn an den Grenzen kontrolliert wird und wie man damit umgeht und eine zweite Frage wenn die AFD plant diese Woche einen ehemaligen anag in den Bundestag einzubringen wie wollen sie damit umgehen also die AFD wird keinen ehemaligen unionsantrag in den Deutschen Bundestag einbringen das ein Gesetzentwurf der im Innenausschuss liegt und wir werden heute Nachmittag darüber entscheiden ob wir ihn einbringen oder nicht das überlassen wir nicht der AFD wie ich überhaupt sagen will wir schauen nicht darauf was die AFD tut wir treffen unsere eigenen Entscheidungen über die Frage des wirtschaftlichen der wirtschaftlichen Auswirkungen der Grenzkontrollen haben wir vor langer langer Zeit einal gesprochen heute nicht mehr das ist kein Problem wenn sie mal die Gelegenheit haben sich Grenzübergänge anzuschauen an denen kontrolliert wird die deutsche Bundespolizei hat ein sicheres Gespür dafür wen sie rauswinken muss und wen nicht der Grenzverkehr funktioniert weitestgehend störungsfrei in der Europäischen Union auch an unseren Binnengrenzen zu den europäischen Nachbarn also das ist kein Argument die Grenzkontrollen jetzt nicht stattfinden zu lassen ich vertraue da sehr auf die Bundespolizei und ihr sicheres Urteil auch in der Erfahrung der Grenzkontrollen die sie in den letzten Jahrzehnten gemacht haben die Bundespolizei sagt uns sagt mir wenn wir den Auftrag bekommen dies zu tun dann werden wir Ihnen erfüllen vielen Dank Herr vielen Dank danke schön [Musik] [Musik]
Y-51KgH5JWY,Wieder nach vorne! Am 23. Februar mit beiden Stimmen CDU.,"#cdu #politikwechsel #merz #wiedernachvorne 

Mehr von der CDU
Demokratieunterstützer: https://www.cdu-deutschlands.de/spenden
Friedrich Merz: https://www.merz.cdu.de/
Jetzt Mitglied werden: https://www.cdu-deutschlands.de/mitglied-werden

 Social Media
► Instagram:  https://www.instagram.com/cdu/ 
► Facebook:  https://www.facebook.com/CDU 
► WhatsApp: https://whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636 
► Threads: https://www.threads.net/@cdu 
► TikTok: https://www.tiktok.com/@insidecdu 
► X: https://x.com/CDU 
► LinkedIn: https://de.linkedin.com/company/cdudeutschlands",CDU,https://www.youtube.com/watch?v=Y-51KgH5JWY,True,2025-01-26T11:27:06Z,Deutschland was ist los mit dir warst du nicht mal Exportweltmeister ein Land das man respektierte und bewunderte du hast so viel mehr verdient wie wäre es wenn wir aufhören zu streiten und wieder ins machen kommen wenn deine Wirtschaft nicht mehr strauchelt sondern läuft wenn sich jeder bei dir wieder sicher und zu Hause fühlt na wie wäre das wählen Sie den Politikwechsel am 23 Februar wieder nach vorne CDU
