,Unnamed: 0,video_id,title,description,author,source,embedded,creation_date,transcript
0,0.0,l7bWsE_fMxI,Die WICHTIGSTE Rede Über Den Pakt Von Merz Und AfD! Heidi Reichinnek Spricht KLARTEXT!,"Friedrich Merz bricht sein Versprechen und arbeitet offen mit der AfD zusammen. Am Freitag will er im Bundestag gemeinsam mit ihr einen Antrag im Bundestag einbringen. Damit verschafft er der rechtsradikalen Partei Einfluss auf die Gesetzgebung und ebnet den Weg für zukünftige Koalitionen mit der AfD!

Wir verteidigen die Demokratie – notfalls auch gegen die Merz-CDU!",DIE LINKE,https://www.youtube.com/watch?v=l7bWsE_fMxI,True,2025-01-29T21:11:43Z,herigen Sie sich bitte ja danke schön alle politischen Differenzen zum Trotz hätte ich mir niemals vorstellen können dass eine christlich demokratische Partei eine christlich demokratische Partei diesen dambbru vollzieht und mit rechtsextremaktiert das ist was sie tun und ich s ihnen sie haben die Mehrheit mit derd nicht Kauf genmen heit sie haben diese Mehrheiten gesucht geminsam mit der FDP haben sie diese Mehrheiten gezielt gesucht und das ist das verdammte Problem und sie verstehen es B jetzt noch nicht und das nur zwei Tage zwei Tage nachdem wir hier der Befreiung von Auschwitz gedacht haben zwei Tage nachdem wir den ermordeten und gequälten gedacht haben arbeiten sie mit denen zusammen die genau diese Ideologie jetzt weitertragen und ihre Kommentare die ich gerade schon höre die sagen verdammt viel über sie a der Jubel den sie da die ganze Zeit mitbekommen der zeigt doch wem sie hier gerade in die Karten gespielt haben und die Menschen werden am Ende immer das Original wählen immer und wenn Sie sich jetzt wirklich von der Union noch hinstellen und sagen Sie alle sie demokrattin hätten ja zustimmen können also abgesehen davon dass sie nie Zusammenarbeit angeboten haben uns ja sowieso nicht weil mit rechtsextrem Bier trinken kein Problem aber mit Leuten die Menschenrechte für alle wollen da ist natürlich Grenze für sie ist klar abgesehen davon diese Gesprächsangebote nie g die sagen jetzt wirklich wir machen jetzt hier so einen rassistischen und rechtswiedrigen Antrag und wenn sie jetzt alle nicht zustimmen ja dann können wir halt nicht anders dann müssen wir mit den Rechtsextremen arbeiten was ist das denn für eine erbärmliche Aussage ich sage Ihnen sie machen sich zum Steigbügelhalter damit und sie haben dieses Land heute zum Schlechteren verändert und ich wiederhole das was ich in meiner Rede gesagt habe egal wie sehr sie es versuchen die brandm in diesem Land das sind immer noch wir und wir alle wir werden auf die Straßen gehen wir alle werden an die Wahlen gehen und das kann ich Ihnen versprechen wir werden dafür sorgen dass das jetzt hier ein Ende hat und ich sage auch an die Adresse von SPD und grün schließt eine Koalition mit dieser Union aus es kann euch nur schaden aber ich sage auch den Menschen da draußen gebt nicht auf sondern whrt euch leistet Widerstand gegen den Faschismus in im Land auf die marikanen [Applaus] [Musik]
1,1.0,5WE5pdFbpnM,Heidi Reichinnek Greift Friedrich Merz FRONTAL An! #shorts,,DIE LINKE,https://www.youtube.com/watch?v=5WE5pdFbpnM,True,2025-01-29T20:44:52Z,aller politischen Differenzen zumtrotz hätte ich mir niemals vorstellen können dass eine christlich demokratische Partei eine christlich demokratische Partei diesen dambruck vollzieht und mit rechtsextrem paktiert das ist es was sie tun und ich sage Ihnen sie haben die Mehrheit mit der AFD nicht in Kauf genommen das sind keine zufallsmehrheiten sie haben diese Mehrheiten gesucht gemeinsam mit der FDP haben sie diese Mehrheiten gezielt gesucht und das ist das verdammte Problem und sie verstehen es bis jetzt noch nicht und das nur zwei Tage zwei Tage nachdem wir hier der Befreiung von Auschwitz gedacht haben zwei Tage nachdem wir den ermordeten und gequälten gedacht haben arbeiten sie mit denen zusammen die genau diese Ideologie jetzt weitertragen und ihre Kommentare die ich hier gerade schon höre die sagen verdammt viel über Sie aus und der Jubel den sie da die ganze Zeit mitbekommen der zeigt doch wem sie hier gerade in die Karten gespielt haben und die Menschen werden am Ende immer das Original wählen und wenn Sie sich jetzt wirklich von der Union noch hinstellen und sagen Sie alle sie DemokratInnen hätten ja zustimmen können also abgesehen davon dass sie nie eine Zusammenarbeit angeboten haben uns ja sowieso nicht weil mit rechtsextremen Bier trinken kein Problem aber mit Leuten die Menschenrechte für alle wollen da ist natürlich eine Grenze für sie ist klar abgesehen davon dass es diese Gesprächsangebote nie gab sie sagen jetzt wirklich wir machen jetzt hier so einen rassistischen und rechtswidrigen Antrag und wenn sie jetzt alle nicht zustimmen ja dann können wir halt nicht anders dann müssen wir mit den Rechtsextremen arbeiten was ist das was denn für eine erbärmliche Aussage ich sage Ihnen sie machen sich zum Steigbügelhalter damit und sie haben dieses Land heute zum Schlechteren verändert und ich wiederhole das was ich in meiner Rede gesagt habe egal wie sehr sie es versuchen die brandm in diesem Land das sind immer noch wir und wir alle wir werden auf die Straßen gehen wir alle werden an die Wahlen gehen und das kann ich Ihnen versprechen wir werden dafür sorgen dass das jetzt hier ein Ende hat und ich sage auch an die Adresse von SPD und grün schließt eine Koalition mit dieser Union es kann euch nur schaden aber ich sage auch den Menschen da draußen gebt nicht auf sondern werrt euch leistet wierstand gegen den Faschismus in im Land auf die mariken [Applaus] [Musik]
