video_id,title,description,author,source,embedded
DeReJVt4uQc,Live: Mega-Veranstaltung mit Alice Weidel in Neu-Isenburg! - AfD,"Das darfst Du nicht verpassen: In unserem Livestream aus Neu-Isenburg erwarten Dich unsere AfD-Kanzlerkandidatin Alice Weidel und Bundessprecher Tino Chrupalla in einem Rahmenprogramm, das es in sich hat. Getränke kalt- und Snacks bereitstellen - und am Samstag ab 14 Uhr einschalten!",AfD TV,https://www.youtube.com/watch?v=DeReJVt4uQc,True
3HLFWDoBbYE,"Zeit für eine Kanzlerin, die sich an den Eid erinnert! - Alice Weidel - AfD Wahlwerbespot",Der offizielle Wahlwerbespot der Alternative für Deutschland mit unserer Kanzlerkandidatin Alice Weidel!,AfD TV,https://www.youtube.com/watch?v=3HLFWDoBbYE,True
cG9gl2RIr90,Wahlkampfauftakt: Mega-Veranstaltung mit Alice Weidel in Halle!,"Das darfst Du nicht verpassen: Beim größten AfD-Event aller Zeiten erwarten Dich unsere Kanzlerkandidatin Alice Weidel und Bundessprecher Tino Chrupalla in einem Rahmenprogramm, das es in sich hat. Getränke kalt- und Snacks bereitstellen - und am Samstag ab 14 Uhr einschalten!",AfD TV,https://www.youtube.com/watch?v=cG9gl2RIr90,True
ZumGcdGdOSQ,"FPÖ-Regierung, USA unter Trump und Meinungsfreiheit unter Beschuss: Jung & Patriotisch - FPÖ & AfD","In Österreich hat die FPÖ erstmals den Regierungsbildungsauftrag erhalten, in den USA legt Trump schon am ersten Tag los wie die Feuerwehr und im EU-Parlament steht die Meinungsfreiheit weiter massiv unter Beschuss. Die aktuellen Entwicklungen besprechen die Europaabgeordneten Alexander Jungbluth (AfD) und Petra Steger (FPÖ) wie gewohnt in der neuen Ausgabe von „JUNG & PATRIOTISCH“.",AfD TV,https://www.youtube.com/watch?v=ZumGcdGdOSQ,True
qLtkcA52raI,Alice Weidel spricht Klartext: Live in Hamburg!,"Die AfD-Kanzlerkandidatin und Vorsitzende der AfD-Bundestagsfraktion, Dr. Alice Weidel, spricht am 16. Januar im Großen Festsaal des Hamburger Rathauses. Im Fokus: Lösungen für die großen Krisen unserer Zeit – von der Asylkrise über die Energiekrise bis hin zur Wirtschaftskrise. Wie kann Deutschland zurück auf Erfolgskurs gebracht werden? Alice Weidel liefert Antworten, die überzeugen!",AfD TV,https://www.youtube.com/watch?v=qLtkcA52raI,True
L2Z794uwWyA,Über Migrantenflut & Medienlügen: Stephan Brandner im Interview mit AfD-TV!,"Deutschland steht am Scheideweg: Offene Grenzen und eine eskalierende Migrationspolitik setzen unser Land unter Druck. Stephan Brandner spricht im Interview unverblümt über die Konsequenzen, die durch die Altparteien zugelassen wurden: von unkontrollierter Einwanderung bis hin zu verschwiegenen Sicherheitsrisiken. Gewalt, die tagtäglich unsere Bürger trifft, und eine Politik, die alles tut, um diese Entwicklungen zu verschleiern.

Die Wurzel allen Übels? Laut Brandner die CDU und die Ampel-Koalition, die nicht nur tatenlos zusehen, sondern aktiv dafür sorgen, dass die Probleme wachsen. Ist das die Zukunft, die wir wollen?

Schauen Sie jetzt, was die Medien verschweigen und warum nur ein politischer Kurswechsel Deutschland wieder stabilisieren kann. Diskutieren Sie mit: Was denken Sie über die aktuelle Lage? Schreiben Sie Ihre Meinung in die Kommentare und abonnieren Sie unseren Kanal für weitere brisante Enthüllungen!",AfD TV,https://www.youtube.com/watch?v=L2Z794uwWyA,True
Iq_VrfSI-AI,"""Mit uns gibt es keine halben Sachen mehr!"" - Tino Chrupalla - AfD","Tino Chrupalla, Bundessprecher der AfD, spricht Klartext: Im exklusiven Interview beleuchtet er die größten Herausforderungen, vor denen Deutschland aktuell steht. Von Migration über Wirtschaft bis hin zur Bundestagswahl 2025 – Chrupalla erklärt, warum die AfD die einzige Partei ist, die echten Wandel bringen kann. Klare Worte, konkrete Lösungen – ein Interview, das Sie nicht verpassen sollten!",AfD TV,https://www.youtube.com/watch?v=Iq_VrfSI-AI,True
B8YByr2RUC0,"""Zeit für Deutschland"": 16. AfD-Bundesparteitag live aus Riesa! - Tag 2","Mit klaren Forderungen und einer starken Kanzlerkandidatin Alice Weidel startet die AfD in den Bundestagswahlkampf! Unser Programm, das wir während des 16. Bundesparteitages in Riesa verabschieden, wird ein unmissverständliches Zeichen setzen: Wir wollen ein Deutschland, das wieder selbstbewusst, sicher und zukunftsfähig agiert.

🌍 Unsere zentralen Forderungen:
 • Grenzen schützen: Lückenlose Sicherung und Rückweisung illegaler Einreisen. Deutschland entscheidet, wer kommen darf – niemand sonst!
 • Keine Geldleistungen für Asylbewerber: Sozialleistungen für Nicht-Aufenthaltsberechtigte streichen und auf Sachleistungen umstellen.
 • Asylrecht verschärfen: Asyl nur auf Zeit und Vorrang für Versorgung in Heimatregionen.
 • Staatsbürgerschaft schützen: Keine Turbo-Einbürgerungen – die deutsche Staatsbürgerschaft darf nicht verschenkt werden.
 • Arbeit statt Bürgergeld: Das Bürgergeld in eine aktivierende Grundsicherung umwandeln und Arbeitsfähige in den Jobmarkt zurückführen.
 • Aufschwung für alle: Technologieoffenheit statt grüner Verbote – keine Verbrenner- und Heizungsverbote mehr!
 • Steuern senken: Einkommensteuer, Unternehmens- und Energiesteuern reduzieren. CO₂-Abgabe streichen, Soli abschaffen.
 • Schluss mit Bürokratie: Unsinnige EU-Regeln und Gesetze wie das Lieferkettengesetz abschaffen.
 • Energie sichern: Zurück zu Kernkraft und Kohlekraftwerken – Schluss mit der teuren Energiewende!
 • Meinungsfreiheit verteidigen: Keine Zensur durch Behörden – GEZ-Gebühren abschaffen und die Freiheit der Bürger schützen.

🇩🇪 Mit der AfD für ein starkes Deutschland: Gemeinsam gestalten wir eine echte Alternative zur Politik der Altparteien. Es ist Zeit für klare Entscheidungen und eine Politik, die den Bürgern dient.

📢 Seien Sie Teil der Veränderung:
🔗 Mehr erfahren: https://afd.de
📱 Folgen Sie uns:
 • Facebook: https://facebook.com/alternativefuerde
 • Instagram: https://instagram.com/afd.bund
 • Twitter: https://twitter.com/afd
 • YouTube: https://youtube.com/@AfDTV

#AfD #AliceWeidel #Kanzlerkandidatin #Bundestagswahl2025 #DeshalbAfD #Deutschland #JetztAfD",AfD TV,https://www.youtube.com/watch?v=B8YByr2RUC0,True
uqxNsnC6o34,"""Zeit für Deutschland"": 16. AfD-Bundesparteitag live aus Riesa! - Tag 1",,AfD TV,https://www.youtube.com/watch?v=uqxNsnC6o34,True
6KgV1o_8E2k,"Weißt Du noch, wie schön es in Deutschland einmal war? - AfD","Weißt Du noch, wie schön es in Deutschland einmal war? Holen wir uns unser Land zurück. Am 23. Februar AfD!",AfD TV,https://www.youtube.com/watch?v=6KgV1o_8E2k,True
