video_id,title,description,author,source,embedded
_LxaO7xousg,Ex-Fußballmanager und BSW-Spitzenkandidat Oliver Ruhnert im Gespräch mit Sahra Wagenknecht,"Der Anspruch auf einen Stammplatz ohne Leistung scheint bei manchen in der Bundesregierung normal zu sein. Im Sport wäre das undenkbar, kritisiert Ex-Fußballmanager Oliver Ruhnert. Er hat den 1.FC Union in die erste Bundesliga geführt. Als Spitzenkandidat im BSW-Landesverband Berlin kandidiert er für den Bundestag. 

Denn er weiß aus eigener Erfahrung, wie viel Sportvereine für die Integration und in den Kommunen leisten. Wer hier kürzt, spart das gesellschaftliche Miteinander kaputt.
Deswegen fordert das BSW eine kostenlose Mitgliedschaft im Sportverein für jedes Kind. Was Oliver Ruhnert versucht, noch außerhalb des Platzes zu erreichen, verrät er im Gespräch mit Sahra Wagenknecht.
.


#unserlandverdientmehr #bsw #sport #bundestagswahl2025",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=_LxaO7xousg,True
Jqk3K4HDTrQ,Das Spiel mit den Wahlumfragen - Prognose oder Beeinflussung?  #unserlandverdientmehr  #bsw,"Dass mit Umfragen gezielt Stimmung gemacht wird, ist klar. Dass das BSW für einen Neustart gebraucht wird, aber auch! Warum das so ist, erklärt Generalsekretär Christian Leye hier im Video. Wer für Diplomatie statt Waffen, faire Löhne statt Deregulierung und eine selbstbewusste Haltung gegenüber den USA ist, hat am 23.2. nur eine Wahl: BSW wählen! 

#bundestagswahl2025 #wagenknecht #frieden",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=Jqk3K4HDTrQ,True
8Go_CUMG5Tk,Wer ist der Anzeigenhauptmeister der deutschen Politik?,"Fairness ist, wenn's nicht unter die Gürtellinie geht. Sollte man meinen.

In diesem Video erklärt BSW-Generalsekretär Christian Leye, warum wir das sogenannte Fairnessabkommen der etablierten Parteien nicht unterschrieben haben und warum Robert Habeck der Anzeigenhauptmeister der Republik ist.

Am 23. Februar: BSW wählen! 💜🧡",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=8Go_CUMG5Tk,True
vyg-CAP_E3s,"Robert Crumbach: ""Regieren ist kein Selbstzweck!""","Dass man zu seinen Prinzipien fest stehen muss, ist nirgendwo wichtiger als dort, wo man in Regierungsverantwortung steht. In Brandenburg ist es Robert Crumbach, der als Finanzminister und stellvertretenden Ministerpräsident zeigt, dass das BSW nur ein Jahr nach seiner Gründung eine bundesweit relevante und wichtige politische Kraft darstellt – für konsequente Friedens- und solide Finanzpolitik.",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=vyg-CAP_E3s,True
sJK5LTydg98,"Friederike Benda: ""Gegen Gängelung, Überwachung und Zensur!"" #bsw  #cancelcancelculture","Politische Interessenkonflikte werden zu moralischen Fragen verklärt. Die Regierung zu kritisieren, fühlt sich heute fast schon an wie Majestätsbeleidigung – wie zu Zeiten von Kaiser Wilhelm. Dafür haben sie sogar einen neuen Begriff erfunden: „Delegitimierung des Staates“.

#gruene #zensur",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=sJK5LTydg98,True
vpi2UhgpyFc,"Klaus Ernst: ""Immer mehr Altersarmut – das ist unerträglich!"" #bsw #unserlandverdientmehr #rente","16 Millionen Menschen verdienen momentan so wenig, dass sie nach 45 Jahren harter Arbeit weniger als 1.200€ Rente bekommen würden. Deutschland braucht eine Rentenreform nach österreichischem Vorbild!",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=vpi2UhgpyFc,True
KPPhiEQgvDk,"Sevim Dağdelen: ""Schluss mit US-Angriffswaffen auf deutschem Boden!"" #bsw #unserlandverdientmehr","Es sind eben auch nicht die US-Präsidenten, die über die Sicherheit der Menschen in Deutschland den Daumen senken. Deshalb lehnt das BSW auch wie die Mehrheit der Bevölkerung die Stationierung von US-Angriffswaffen auf deutschem Boden ab. 

#unserlandverdientmehr #bsw #bundestagswahl2025 #frieden #usa #ukraine #gaza #diplomatie #wagenknech",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=KPPhiEQgvDk,True
o58BVOuTZ6k,"""Ein wesentlicher Teil der Corona-Maßnahmen erfolgte ohne wissenschaftliche Grundlage."" #bsw #corona",Multipolar-Chefredakteur Paul Schreyer klagte wegen der RKI-Protokolle gegen die Regierung. Beim BSW-Parteitag forderte der Journalist einen Corona-Untersuchungsausschuss im Bundestag,Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=o58BVOuTZ6k,True
DmA6YKlnIWU,"Michael Lüders: ""Wir müssen mehr auf Diplomatie setzen!""","Frieden braucht Verhandlungen, nicht Waffen. Es ist Zeit, dass Deutschland aufhört, sich als Handlanger internationaler Konflikte zu profilieren, und stattdessen Verantwortung übernimmt – mit echter Diplomatie und einer Politik, die Kriege verhindert statt befeuert.

#unserlandverdientmehr verdientmehr #bsw #frieden #gaza #ukraine #frieden",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=DmA6YKlnIWU,True
leJRO6lRprc,Wer ist der Anzeigenhauptmeister der deutschen Politik?  #bsw  #bundestagswahl2025,"Fairness ist, wenn's nicht unter die Gürtellinie geht. Sollte man meinen. 

In diesem Video erklärt BSW-Generalsekretär Christian Leye, warum wir das sogenannte Fairnessabkommen der etablierten Parteien nicht unterschrieben haben und warum Robert Habeck der Anzeigenhauptmeister der Republik ist.
Am 23. Februar: BSW wählen!",Bündnis Sahra Wagenknecht,https://www.youtube.com/watch?v=leJRO6lRprc,True
