video_id,title,description,author,source,embedded
T7Eh7QMDsEs,37. Parteitag der CDU Deutschlands | Wieder nach vorne #cdupt25,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=T7Eh7QMDsEs,True
obSGzwD9dUE,37. Parteitag der CDU Deutschlands | Wieder nach vorne #cdupt25,#cdu #politikwechsel #wiedernachvorne #merz,CDU,https://www.youtube.com/watch?v=obSGzwD9dUE,True
DG7lJTIsJRQ,Pressekonferenz mit Friedrich Merz und Carsten Linnemann,#cdu #politikwechsel #wiedernachvorne,CDU,https://www.youtube.com/watch?v=DG7lJTIsJRQ,True
Y-51KgH5JWY,Wieder nach vorne! Am 23. Februar mit beiden Stimmen CDU.,"#cdu #politikwechsel #merz #wiedernachvorne 

Mehr von der CDU
Demokratieunterstützer: https://www.cdu-deutschlands.de/spenden
Friedrich Merz: https://www.merz.cdu.de/
Jetzt Mitglied werden: https://www.cdu-deutschlands.de/mitglied-werden

 Social Media
► Instagram:  https://www.instagram.com/cdu/ 
► Facebook:  https://www.facebook.com/CDU 
► WhatsApp: https://whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636 
► Threads: https://www.threads.net/@cdu 
► TikTok: https://www.tiktok.com/@insidecdu 
► X: https://x.com/CDU 
► LinkedIn: https://de.linkedin.com/company/cdudeutschlands",CDU,https://www.youtube.com/watch?v=Y-51KgH5JWY,True
y2AWJpVY-VI,Wieder nach vorne | Die Wahlkampftour mit Friedrich Merz – Neuhof/Fuld | Gebärden,"#cdu #politikwechsel #merz #wiedernachvorne 

Mehr von der CDU
Demokratieunterstützer: https://www.cdu-deutschlands.de/spenden
Friedrich Merz: https://www.merz.cdu.de/
Jetzt Mitglied werden: https://www.cdu-deutschlands.de/mitglied-werden

 Social Media
► Instagram:  https://www.instagram.com/cdu/ 
► Facebook:  https://www.facebook.com/CDU 
► WhatsApp: https://whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636 
► Threads: https://www.threads.net/@cdu 
► TikTok: https://www.tiktok.com/@insidecdu 
► X: https://x.com/CDU 
► LinkedIn: https://de.linkedin.com/company/cdudeutschlands",CDU,https://www.youtube.com/watch?v=y2AWJpVY-VI,True
GVmtzkUimFc,Wieder nach vorne | Die Wahlkampftour – Künzelsau,#merz #cdu #politikwechsel #wiedernachvorne,CDU,https://www.youtube.com/watch?v=GVmtzkUimFc,True
_D27U2rUcGM,Wieder nach vorne | Die Wahlkampftour mit Friedrich Merz – Neuhof/Fulda,"#cdu #politikwechsel #merz #wiedernachvorne 

Mehr von der CDU
Demokratieunterstützer: https://www.cdu-deutschlands.de/spenden
Friedrich Merz: https://www.merz.cdu.de/
Jetzt Mitglied werden: https://www.cdu-deutschlands.de/mitglied-werden

 Social Media
► Instagram:  https://www.instagram.com/cdu/ 
► Facebook:  https://www.facebook.com/CDU 
► WhatsApp: https://whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636 
► Threads: https://www.threads.net/@cdu 
► TikTok: https://www.tiktok.com/@insidecdu 
► X: https://x.com/CDU 
► LinkedIn: https://de.linkedin.com/company/cdudeutschlands",CDU,https://www.youtube.com/watch?v=_D27U2rUcGM,True
qGfX0FPScQw,Die Menschen in Deutschland müssen sich wieder sicher fühlen. #cdu #merz,,CDU,https://www.youtube.com/watch?v=qGfX0FPScQw,True
UbUGELDFaWQ,#merzrede: Außenpolitische Grundsatzrede von Friedrich Merz bei der Körber-Stiftung,"Friedrich Merz, Vorsitzender der CDU Deutschlands und Vorsitzender der CDU/CSU-Bundestagsfraktion, wird am Donnerstag, 23. Januar 2025 im Rahmen des Körber Global Leaders Dialogue eine Rede zu den außen- und europapolitischen Prioritäten für Deutschland halten.

#merz #cdu #politikwechsel #wiedernachvorne",CDU,https://www.youtube.com/watch?v=UbUGELDFaWQ,True
H8pHhvsaKFs,"Friedrich Merz: ""Wir werden diesen Zustand beenden."" #cdu #politikwechsel #merz",,CDU,https://www.youtube.com/watch?v=H8pHhvsaKFs,True
