video_id,title,description,author,source,embedded
6_QcAgiGMxo,Felix Banaszak zur gestrigen Abstimmung im Deutschen Bundestag,"Es ist unverantwortlich, mit Rechtsextremen zu kooperieren. Die gestrige Abstimmung im Bundestag war ein Bruch mit allem, wofür unser Land steht. Keine Entscheidung im Deutschen Bundestag darf je wieder von den Stimmen der AfD abhängen.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=6_QcAgiGMxo,True
9Ozutw38Mt8,Wahlkampftour mit Annalena Baerbock in Potsdam,Wahlkampftour mit Annalena Baerbock in Potsdam,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=9Ozutw38Mt8,True
sXSTFvYaFHA,Annalena Baerbock zum fatalen Wortbruch von Friedrich Merz,"Politik ist kein Spiel. Die heutige Entscheidung von Friedrich Merz, gemeinsam mit der AfD zu stimmen, ist nicht nur politisch fatal. Sie erschüttert den Kern unserer Gesellschaft: Unseren Zusammenhalt. Wir stehen für die politische Kraft, die mit Verstand, Herz und Menschlichkeit die Herausforderungen angeht und unser Land gestaltet.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=sXSTFvYaFHA,True
2oY1QbdXMwg,"Britta Haßelmann: Sie tragen die Verantwortung, Herr Merz. | BÜNDNIS 90/DIE GRÜNEN","Das, was heute im Bundestag passiert ist, hat die Merz-CDU verantworten.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=2oY1QbdXMwg,True
zpcJdv3dSQA,Keine Zusammenarbeit mit Rechtsextremen!,"Zusammenarbeit mit Rechtsextremisten? Ist in Thüringen bereits geschehen. Die CDU hat in Kauf genommen, mehrere Gesetze mit der Höcke-AfD durchzubringen. Wir stehen ganz kurz davor, dass Friedrich Merz das auch im Bundestag macht. Ein Tabubruch ohnegleichen. Herr Merz – kehren Sie um!",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=zpcJdv3dSQA,True
0oEzlUjr73E,Merz: Wortbruch.,"Wenn Friedrich Merz seine Ankündigung wahrmacht, kommt es heute im Deutschen Bundestag zum Tabubruch: einer Zusammenarbeit der CDU mit der AfD. Einer Partei, die in Teilen gesichert rechtsextrem ist. Es wäre ein historischer Fehler. Begehen Sie ihn nicht, Herr Merz!",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=0oEzlUjr73E,True
2UW2CS1WDHY,"Annalena Baerbock: Was die Union vorschlägt, ist, dieses gemeinsame Europa kaputt zu machen.","Was Annalena Baerbock am Ende sagt: „Was die Union vorschlägt, ist, dieses gemeinsame Europa kaputt zu machen.“

Wir handeln europäisch. Und wir finden: Jeder Mensch hat das Recht, geschützt zu werden.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=2UW2CS1WDHY,True
j15jL8b3VvQ,Unser Regierungsprogramm 2025 in Gebärdensprache: Gute Bildung und Arbeit für alle Menschen,"Gute Bildung und Arbeit für alle Menschen
Bildung ist der Schlüssel für gleiche Chancen und eine gerechte Gesellschaft. Hier erklären wir, wie BÜNDNIS 90/DIE GRÜNEN sicherstellen, dass jede*r in Deutschland Zugang zu hochwertiger Bildung und fairer Arbeit hat.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=j15jL8b3VvQ,True
Bu4sZKD9ORM,Unser Regierungsprogramm 2025 in Gebärdensprache: Klimaschutz und soziale Gerechtigkeit für alle,"Klimaschutz und soziale Gerechtigkeit für alle
Dieses Video zeigt, wie wir den Klimaschutz mit sozialer Gerechtigkeit verbinden. Unsere Politik sorgt dafür, dass niemand zurückgelassen wird, während wir gleichzeitig eine klimaneutrale Zukunft aufbauen.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=Bu4sZKD9ORM,True
1izapOn6kGU,Unser Regierungsprogramm 2025 in Gebärdensprache: Wirtschaft und Innovation für eine starke Zukunft,"Wirtschaft und Innovation für eine starke Zukunft
In diesem Video erläutern wir, wie BÜNDNIS 90/DIE GRÜNEN die deutsche Wirtschaft durch Innovationen und nachhaltige Veränderungen stärken. Wir setzen auf die Kompetenz und das Engagement der Menschen, um den Wohlstand langfristig zu sichern.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=1izapOn6kGU,True
f9BmGIbBLzQ,Unser Regierungsprogramm 2025 in Gebärdensprache: Frieden in Freiheit sichern,"Frieden und Demokratie für eine starke Gesellschaft
In diesem Video geht es um den Schutz unserer Demokratie und die Sicherstellung der Freiheit für alle Menschen. Wir betonen, wie wichtig es ist, gemeinsam für eine starke, inklusive Gesellschaft zu arbeiten.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=f9BmGIbBLzQ,True
lY5pBomnfak,Franziska Brantner zur Schuldenbremse bei #hartaberfair,"Die Schuldenbremse ist nicht grundsätzlich falsch, doch sie muss dringend reformiert werden. Marode Brücken, überlastete Schleusen und schlecht ausgestattete Schulen schaden schon heute unserer Wirtschaft.
Wir setzen uns dafür ein, jetzt in Infrastruktur, Bildung, Digitalisierung und Klimaschutz zu investieren. Denn wir dürfen den nachfolgenden Generationen kein marodes Land hinterlassen – unser Ziel ist eine moderne und gerechte Zukunft für alle.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=lY5pBomnfak,True
3pRGAU0qmv4,Annalena besucht ein Seniorenheim in Potsdam,"Ein würdevolles und selbstbestimmtes Leben im Alter braucht gute Arbeitsbedingungen für Pflegekräfte und Entlastung für Angehörige – durch barrierefreies Wohnen und eine bessere ambulante Pflege. Das stärkt die soziale Sicherheit und unsere Demokratie.

Das Seniorenheim Luisengarten in Potsdam zeigt, wie flexible Wohnmodelle gelingen. Danke für die inspirierenden Einblicke und die wertvolle Arbeit!",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=3pRGAU0qmv4,True
Focjfk_iM58,Pressekonferenz mit Felix Banaszak am 27.01.2025,Pressekonferenz mit Felix Banaszak am 27.01.2025,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=Focjfk_iM58,True
j4Rh5g3hCIw,Annalena Baerbock über die Stärke Europas und warum Abschottung Deutschland schwächt,"Europa ist unser Frieden, unsere Freiheit, unsere Stärke. 🇪🇺
Grenzen dichtmachen und damit Europarecht brechen? Das macht Europa kaputt. Deutschlands Sicherheit, Wirtschaft und Zukunft liegen in der Zusammenarbeit der Europäischen Union. Gerade jetzt braucht es ein starkes Europa.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=j4Rh5g3hCIw,True
ivr-32p3QfY,Annalena Baerbock über die Stärke Europas und warum Abschottung Deutschland schwächt,"Europa ist unser Frieden, unsere Freiheit, unsere Stärke. 🇪🇺
Grenzen dichtmachen und damit Europarecht brechen? Das macht Europa kaputt. Deutschlands Sicherheit, Wirtschaft und Zukunft liegen in der Zusammenarbeit der Europäischen Union. Gerade jetzt braucht es ein starkes Europa.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=ivr-32p3QfY,True
IBM8VrDodp4,Annalena zu Staatsverantwortung | #BDK25,"Staatsverantwortung heißt, auch in unsicheren Zeiten Orientierung zu geben und sie nicht leichtfertig für Wahlkampfmanöver abzulegen. Gerade jetzt braucht es eine Politik, die alle Menschen schützt und unsere Gesellschaft zusammenhält. Sicherheit ist auch, niemanden zurückzulassen.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=IBM8VrDodp4,True
0rnYE-MzQ58,Franziska Brantners Rede | #BDK25,"Ernste Zeiten erfordern Mut. Jetzt ist der Moment, für unsere Freiheit, Selbstbestimmung & ein gerechtes Aufstiegsversprechen einzutreten.

Lasst uns gemeinsam einen echten Aufbruch im Land wagen. Wir versprechen nicht das Blaue vom Himmel, aber wir gehen ALL-IN für Veränderung.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=0rnYE-MzQ58,True
6F0oQvZDfiQ,Annalena über die Brandmauer und unser Grundgesetz | #BDK25,"Der Auftrag an uns alle ist klar: Die Brandmauer gegen Rechtsextreme hochhalten. Auch wenn die Union das derzeit aus den Augen zu verlieren scheint.
Das Grundgesetz gibt uns vor, ein vereintes Europa zu stärken, um dem Frieden der Welt zu dienen. Dafür stehen wir. Und dafür steht Robert Habeck.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=6F0oQvZDfiQ,True
pSfKC17XEiY,Die stärkste Kraft im Land: Zuversicht | BÜNDNIS 90/DIE GRÜNEN,Die stärkste Kraft im Land ist: Zuversicht. Zuversicht ist nicht blinde Hoffnung. Zuversicht ist Arbeit an der Hoffnung. Arbeiten wir für die Hoffnung! Geben wir dem Land Zuversicht! Wehren wir uns gegen die Angriffe auf unsere Demokratie!,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=pSfKC17XEiY,True
mhnzbTLjUzU,Außerordentliche BDK von Bündnis 90/Die Grünen in Berlin,Außerordentliche BDK von Bündnis 90/Die Grünen in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=mhnzbTLjUzU,True
APMYNoYd-RM,Rede von Pegah Edalatian zur außerordentlichen BDK in Berlin,Rede von Pegah Edalatian zur außerordentlichen BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=APMYNoYd-RM,True
MMJi0eN1fOM,Rede von Sven Giegold zur außerordentlichen BDK in Berlin,Rede von Sven Giegold zur außerordentlichen BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=MMJi0eN1fOM,True
kL2P6hwCGeU,Rede von Annalena Baerbock zur außerordentlichen BDK in Berlin | #BDK25,"Annalena Baerbocks Rede auf der Bundesdelegiertenkonferenz der Grünen über Vielfalt, Sicherheit & das deutsche Grundgesetz

Sie fordert eine klare, europarechtskonforme Sicherheitspolitik und betont, dass Vielfalt eine Stärke ist. Deutschland und Europa müssen auf den Prinzipien des Grundgesetzes basieren. Vor allem ist die Würde des Menschen unantastbar.

Wichtige Themen:
💚 Gleichberechtigung und Selbstbestimmung der Frauen
💚 Sicherheitspolitik und Asyl
💚 Vielfalt als Stärke und Grundlage für den Erfolg
💚 Verantwortung übernehmen

Gemeinsam für ein starkes Deutschland in einem vereinten Europa!",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=kL2P6hwCGeU,True
GvolM2REdiY,Rede von Heiko Knopf zur außerordentlichen BDK in Berlin,Rede von Heiko Knopf zur außerordentlichen BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=GvolM2REdiY,True
wYNZdnllWWk,Rede von Robert Habeck zur außerordentlichen BDK in Berlin,Rede von Robert Habeck zur außerordentlichen BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=wYNZdnllWWk,True
o5BvuyWdhHQ,Rede von Felix Banaszak zur außerordentliche BDK in Berlin,Rede von Felix Banaszak zur außerordentliche BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=o5BvuyWdhHQ,True
sGofis-26Vs,Rede von Franziska Brantner zur außerordentlichen BDK in Berlin,Rede von Franziska Brantner zur außerordentlichen BDK in Berlin,BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=sGofis-26Vs,True
NTHiUAjVBlU,Felix Banaszaks Rede | #BDK25,"Es ist ein gutes Zeichen, dass wir gestern in so vielen Städten das zuversichtliche Gesicht einer starken und vielfältigen Demokratie gesehen haben. Denn wir haben gerade in so schweren Zeiten die Verantwortung, nicht in Resignation zu verfallen, sondern den Rücken gerade zu machen und das auch von anderen zu verlangen –Unser Vorsitzender Felix Banaszak in seiner Rede auf unserem Parteitag.",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=NTHiUAjVBlU,True
mp7K8Al-0lU,Zeichen | BÜNDNIS 90/DIE GRÜNEN,"Ein kleines Zeichen in diesen Zeiten.

Songcredit: https://www.instagram.com/marlogrosshardt/",BÜNDNIS 90/DIE GRÜNEN,https://www.youtube.com/watch?v=mp7K8Al-0lU,True
