video_id,title,description,author,source,embedded
e95NXKXy1tI,Die Linke wählen und Beatrix von Storch verhindern! #shorts,"Die Linke wählen und Beatrix von Storch verhindern! 🛑✊

Noch nie war die Erststimme so entscheidend – und noch nie so einfach, der AfD ihre Grenzen aufzuzeigen. In Lichtenberg kannst du doppelt punkten: Die soziale Opposition im Bundestag stärken und gleichzeitig Beatrix von Storch stoppen. 💥

Am 23.2 in Lichtenberg Ines Schwerdtner, Zusammenhalt und soziale Gerechtigkeit wählen! Seit der Wende ist unser Bezirk rot, und das bleibt so. 🚩",DIE LINKE,https://www.youtube.com/watch?v=e95NXKXy1tI,True
1W5EEtyyKLE,"Freundschaft, Sex und Politik: Wie passt das zusammen? Mit Jan van Aken Und Ole Liebl","Diese Folge von ""Wenn ich mir was wünschen dürfte"" ist eine Hommage an die Freundschaft – eine Beziehungsform, die oft hinter der traditionellen Familie zurückbleibt. 

Content Creator und Autor Ole Liebl spricht mit Jan darüber, warum Freundschaften unser Leben prägen, in der Politik aber kaum eine Rolle spielen. Warum wird die Ehe staatlich gefördert, aber Freundschaften nicht? Wie könnten neue Modelle des Zusammenlebens politisch anerkannt werden? Und was ist eigentlich aus dem gefeierten Ampel-Konzept der Verantwortungsgemeinschaft geworden?

Hier findet ihr alle Folgen von userem Podcast zum Reinhören: https://was-wuenschen.podigee.io/",DIE LINKE,https://www.youtube.com/watch?v=1W5EEtyyKLE,True
dMsLrHjdTno,Wir sind mit euch die Brandmauer! #dielinke,,DIE LINKE,https://www.youtube.com/watch?v=dMsLrHjdTno,True
l7bWsE_fMxI,Die WICHTIGSTE Rede Über Den Pakt Von Merz Und AfD! Heidi Reichinnek Spricht KLARTEXT!,"Friedrich Merz bricht sein Versprechen und arbeitet offen mit der AfD zusammen. Am Freitag will er im Bundestag gemeinsam mit ihr einen Antrag im Bundestag einbringen. Damit verschafft er der rechtsradikalen Partei Einfluss auf die Gesetzgebung und ebnet den Weg für zukünftige Koalitionen mit der AfD!

Wir verteidigen die Demokratie – notfalls auch gegen die Merz-CDU!",DIE LINKE,https://www.youtube.com/watch?v=l7bWsE_fMxI,True
5WE5pdFbpnM,Heidi Reichinnek Greift Friedrich Merz FRONTAL An! #shorts,,DIE LINKE,https://www.youtube.com/watch?v=5WE5pdFbpnM,True
P9qMnaGzG10,"Town Hall Meeting mit Heidi Reichinnek, Ines Schwerdtner, Gregor Gysi & Jan van Aken!","Am Mittwoch kommen wir im Festsaal Kreuzberg in einem Townhall-Meeting in Berlin zusammen, um den Start in die heiße Wahlkampfphase zu begehen.

Mit Wahlkampf-Reden von u.a. unserer Spitzenkandidatin Heidi Reichinnek und der Parteivorsitzenden und Direktkandidatin Ines Schwerdtner. Dazu kommen auch Jan van Aken und Gregor Gysi!

Außerdem werden viele Wahlkampfhelfer*innen vor Ort sein, die seit Wochen bereits viele Haustürgespräche geführt haben und für eine starke Linke kämpfen.",DIE LINKE,https://www.youtube.com/watch?v=P9qMnaGzG10,True
ir0lDqWANzU,Wir sind die Brandmauer - gemeinsam gegen den Rechtsruck ✊,"Heidi Reichinnek hat heute im Bundestag einmal mehr klar gemacht: Das was heute passiert ist, war ein historischer Moment. Es geht um unsere Demokratie, um Menschenrechte und die Spaltung unserer Gesellschaft.

Wir müssen laut bleiben, um diesen Rechtsruck aufzuhalten ✊ WIR sind die Brandmauer. Lasst uns gemeinsam für eine solidarische Gesellschaft kämpfen. #DeshalbDieLinke",DIE LINKE,https://www.youtube.com/watch?v=ir0lDqWANzU,True
Z5P9pYv7itw,Merz PAKTIERT Mit AfD Und Heidi Reichinnek Reagiert Mit Wutrede!,"Friedrich Merz kündigte heute im Bundestag einen gefährlichen Dammbruch an: Trotz seiner Versprechen will er einen Antrag mit der AfD durchbringen, was der rechtsextremen Partei Einfluss auf die Gesetzgebung verschafft. 

Dieser Schritt öffnet die Tür für mögliche Koalitionen mit der AfD und gefährdet die Demokratie in Deutschland. Heidi Reichinnek verurteilte dies scharf und stellte klar: „Wir werden die Demokratie gegen die AfD verteidigen und im Notfall auch gegen die Merz-CDU.“ Mit Faschisten paktiert man nicht – die Geschichte hat es uns gelehrt!",DIE LINKE,https://www.youtube.com/watch?v=Z5P9pYv7itw,True
KsU52kqFhno,Deine Stimme zählt - jetzt Briefwahl beantragen und Die Linke wählen! #shorts,"Fast die Hälfte der Wahlberechtigten hat bei der letzten Bundestagswahl per Briefwahl abgestimmt. ✉️

Momentan werden die Wahlbenachrichtigungen zugestellt. Für viele Menschen ist das die einzige Möglichkeit von ihrem Wahlrecht gebrauch zu machen. Sprecht mit euren Freunden und Angehörigen und ermutigt sie zu wählen. Natürlich beide Stimmen Die Linke am 23. Februar! 😌",DIE LINKE,https://www.youtube.com/watch?v=KsU52kqFhno,True
expB5ZRlP64,Klare JANsage an Merz 💥,"In Angst vor ständiger Diskriminierung, Ausgrenzung und Gefahr von Abschiebung zu leben? Das wird immer mehr zur Realität für 21 Millionen Menschen mit Migrationshintergrund in Deutschland.

So kann es nicht weitergehen. Wir müssen uns entschlossen gegen die Faschisierung der Gesellschaft stellen - für Solidarität statt Spaltung.

Wir stehen als Linke fest und geschlossen gegen Koalitionen mit Rechts und werden nicht mitmachen bei dem Bruch des humanitärem Völkerrechts. Wir werden niemals nach unten treten. Wir legen uns mit den Reichen und den Rechten an.

🎥 Wie geht's, Deutschland? vom 28.1.25, ZDF

#DeshalbDieLinke",DIE LINKE,https://www.youtube.com/watch?v=expB5ZRlP64,True
