video_id,title,description,author,source,embedded
DC0-e7FS3Gw,Mitte statt Merz,"Friedrich Merz und die CDU haben im Bundestag erstmals mit den Rechtsextremen paktiert. Mit Deiner Stimme schützen wir die Brandmauer. Für Anstand und Demokratie in Deutschland. Es ist noch nicht zu spät. #MittestattMerz
▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=DC0-e7FS3Gw,True
cVwCUJuohIY,"""Ihre Worte sind nichts wert!"" Scholz über schwarz-blaue Mehrheit","""Bisher kannten wir ihre Umfaller und Zickzackkurse nur von anderen Stellen aus der Außenpolitik. Aber in der Frage, ob man als Demokrat mit dem extremen Rechten gemeinsame Sache macht. Da hatte ich Ihren Zusicherungen wirklich geglaubt."" Olaf Scholz in der Regierungserklärung am 29.01.2025

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=cVwCUJuohIY,True
y_YAOWiQ570,Migrationspolitik nach Aschaffenburg: Wir dürfen uns jetzt nicht spalten lassen!,"▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=y_YAOWiQ570,True
Jg60GC5vZJ0,Olaf Scholz: Ein deutscher Bundeskanzler darf kein Zocker sein!,"Regierungerklärung 29.01.2025 im Bundestag

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=Jg60GC5vZJ0,True
TbsuSAHVcSI,Olaf Scholz nach Aschaffenburg: Wir dürfen uns nicht spalten lassen! | Regierungserklärung,"▬ Kapitel ▬▬▬▬▬▬▬▬▬▬▬▬
00:00 Recht auf Asyl nicht infrage stellen!
03:00 Wir haben ein Versagen der Behörden
09:30 Rechtsstaat und Verfassung schützen
17:30 Schwarz-blaue Mehrheiten
23:20 Unsere Vorschläge zur inneren Sicherheit
25:15 Menschen mit Migrationsgeschichte

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=TbsuSAHVcSI,True
JbScx8zTGzI,"Wer eine schwarz-blaue Regierung verhindern will, muss SPD wählen.","Olaf Scholz über den CDU-Antrag zur Migrationspolitik.

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=JbScx8zTGzI,True
_x0YWkFg2B8,Nachbarn finden Rechtsextreme gut? Sebastian Krumbiegels Tipp,"Matthias Miersch und Sebastian Krumbiegel im Podcast ""Lass uns reden"", Folge 2.

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=_x0YWkFg2B8,True
YIbp5Pv_I9s,Der Kanzler kommt: Olaf Scholz in Berlin,"Alle Termine der Deutschland-Tour: https://olaf-scholz.spd.de/tour

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► X: https://twitter.com/spdde
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde

#SPD",SPD,https://www.youtube.com/watch?v=YIbp5Pv_I9s,True
IV9Osc4MEjA,Keine Zusammenarbeit mit der AfD - jetzt und in Zukunft!,"Matthias Miersch und Sebastian Krumbiegel im Podcast ""Lass uns reden"", Folge 2.

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=IV9Osc4MEjA,True
1ZAXROaI4a4,SPD-Wahlprogramm (DGS) – Einführung | Video 1/4,"Am 23. Februar findet die vorgezogene Bundestagswahl statt. Es geht um viel bei dieser Wahl. Wir sagen Dir klar und konkret, was für Dich drin ist. Wie wir Dein Leben verbessern wollen. Keine Kalendersprüche. Keine ideologischen Scheindebatten. Die SPD macht Politik für viele, aus der Mitte, für die Mitte.

Unser Wahlprogramm – jetzt auch in Deutscher Gebärdensprache (DGS)!
In vier Videos erklären wir unser Programm für ein starkes Deutschland, das zusammenhält.

📌 Dieses Video: Einführung in unser Wahlprogramm (Video 1 von 4)

🎥 Alle Videos der Playlist hier: https://www.youtube.com/watch?v=1ZAXROaI4a4&list=PL85IMmq0WVlQWCtmRav5zS7laIlSBxvil

#Bundestagswahl2025 #SPD #Gebärdensprache #Inklusion #Wahlprogramm

▬ Über diesen Kanal ▬▬▬▬▬▬▬▬▬▬▬▬
Die SPD macht Soziale Politik für Dich. Wie genau, das zeigen wir Dir hier auf YouTube. Mit Videos, die unsere aktuellen Gesetzesvorhaben erklären. Außerdem laden wir regelmäßig die besten Reden unserer Spitzenpolitiker*innen hoch.

Jetzt unseren YouTube-Kanal abonnieren: https://www.youtube.com/c/spdde?sub_confirmation=1

▬ Mehr von der SPD ▬▬▬▬▬▬▬▬▬▬▬▬
Unser Merchandise: https://shop.spd.de/
Unseren Newsletter abonnieren:  https://www.spd.de/newsletter
Jetzt Mitglied werden: https://www.spd.de/unterstuetzen/mitglied-werden

▬ Social Media ▬▬▬▬▬▬▬▬▬▬▬▬
► Instagram: https://www.instagram.com/spdde/
► Facebook: https://www.facebook.com/SPD
► WhatsApp: https://www.spd.de/unterstuetzen/whatsapp
► Threads: https://www.threads.net/@spdde
► TikTok: https://www.tiktok.com/@deinespd

#SPD",SPD,https://www.youtube.com/watch?v=1ZAXROaI4a4,True
