,video_id,title,creation_date,description,author,source,transcript
0,e95NXKXy1tI,Die Linke wählen und Beatrix von Storch verhindern! #shorts,2025-01-31T07:00:31Z,"Die Linke wählen und Beatrix von Storch verhindern! 🛑✊

Noch nie war die Erststimme so entscheidend – und noch nie so einfach, der AfD ihre Grenzen aufzuzeigen. In Lichtenberg kannst du doppelt punkten: Die soziale Opposition im Bundestag stärken und gleichzeitig Beatrix von Storch stoppen. 💥

Am 23.2 in Lichtenberg Ines Schwerdtner, Zusammenhalt und soziale Gerechtigkeit wählen! Seit der Wende ist unser Bezirk rot, und das bleibt so. 🚩",DIE LINKE,https://www.youtube.com/watch?v=e95NXKXy1tI,kennst du diese Frau wir sollten die Sonne verklagen können wir uns darauf einigen das ist Beatrix Amelie ehrengard eilika von Storch milliardärslebhberin und erzkonservative von der AFD sie will in Lichtenberg antreten sie ist gegen Schwangerschaftsabbrüche sie möchte auch gerne wieder Schusswaffen an der Grenze gebrauchen und sie droht Lichtenberg zu spalten doch das werden wir nicht zulassen gleichzeitig will ich das bewahren was Lichtenberg eben auch ausmacht Zusammenhalt Solidarität und ein friedliches gemeinsames Zusammenleben dafür steht Gesine Lösch und dafür werde ich auch stehen wir werden dafür sorgen dass Lichtenberg antifaschistisch bleibt wir haben es genau berechnet wir müssen an 60.000 Haustüren klopfen und mit den Menschen ins Gespräch zu kommen um diese Wahl zu gewinnen das ist eine sehr große Aufgabe aber sie ist machbar und jedes einzelne Gespräch zählt denn jedes Gespräch verbreitet sich wie ein Funke weiter und hier kommst du ins Spiel wir brauchen jetzt deine Unterstützung an den Haustüren an den Infoständen bei der roten Tafel ganz egal ob Mitglied oder nicht jeder kann helfen dafür haben wir eine zentrale Anlaufstelle geschaffen bei der du dich mit wenigen Klicks hier informieren und anmelden kannst jede Tür die wir erreichen bringt uns einen Schritt weiter jede Stimme zählt melde dich jetzt und sei dabei gemeinsam bringen wir die Linke sicher in den Bundestag und verteidigen das Direktmandat gegen Beatrix von Storch bei uns zählt niemals allein immer gemeinsam [Musik]
0,1W5EEtyyKLE,"Freundschaft, Sex und Politik: Wie passt das zusammen? Mit Jan van Aken Und Ole Liebl",2025-01-30T18:47:46Z,"Diese Folge von ""Wenn ich mir was wünschen dürfte"" ist eine Hommage an die Freundschaft – eine Beziehungsform, die oft hinter der traditionellen Familie zurückbleibt. 

Content Creator und Autor Ole Liebl spricht mit Jan darüber, warum Freundschaften unser Leben prägen, in der Politik aber kaum eine Rolle spielen. Warum wird die Ehe staatlich gefördert, aber Freundschaften nicht? Wie könnten neue Modelle des Zusammenlebens politisch anerkannt werden? Und was ist eigentlich aus dem gefeierten Ampel-Konzept der Verantwortungsgemeinschaft geworden?

Hier findet ihr alle Folgen von userem Podcast zum Reinhören: https://was-wuenschen.podigee.io/",DIE LINKE,https://www.youtube.com/watch?v=1W5EEtyyKLE,also wenn ich jetzt wirklich sage hey wir eröffnen in Freundschaften die Möglichkeit auch gemeinsam kinderkos zu Zehen was ja in der Realität eben schon passiert in patchwack Familien also das ist ja glaube ich der folgens schwerste Vertrag den überhaupt mit im deutschen Staat schließen kannst irgendwie die Ehe ja radikale Stimmen die sagen die Ehe müssen wir komplett irgendwie als Institution zertrümmern nicht mir so meine Güte also [Musik] wir sprechen heute mit Ole Liebe die die von euch bei tiktok sind die kennen Ole mit Sicherheit und werden nicht vergessen Ole sagt zwei Sätze zu dir hi ich bin Ole oder auchn als Ole liebe ich dachte ich mach ein bisschen oldsch mit meinem bürgerlichen Namen Internet aufzutreten und ich mache auf tiktok und insta viel feministische Theorie und bin auch Buchautor super du weißt ja die entscheidende Frage hier im Podcast ist wenn du dir was wünschen dürftest was wäre das Ulle ichz mit dir hier als Politiker deswegen wür ich mir auch politisch was wünschen und da Freundschaft mein herzensthema ist würde ich mir wünschen dass wir politisch die Freundschaft als das ernst nehmen was sie ist nämlich einer der Grundpfeiler unserer Gesellschaft und was heißt das konkret was fehlt dir dazu also ich meine Freundschaft können wir schließen jetzt natürlich können wir Freundschaft schließen aber ich meine wenn sich zwei Menschen entscheiden äh ein Leben zu teilen das muss ja nicht immer nur partnerschaftlich sein das kann ja auch freundschaftlich sein das kann ja auch vieles umfassen ich war an Pflege und an Sorge jetzt irgendwie kinderhaustiere Haus und hofsind dass es da keine guten rechtlichen Absicherungen gibt wir können es zusammen hinsetzen und können das jetzt alles irgendwie privatanwaltschaftlich regeln aber bra man Kohle für die haben nicht alle Leute aber wenn wir sagen wir sind zusammen du und ich dann können wir irgendwohin aufs Amt gehen Zahlen irgendwie keine Ahnung 30 40 € und dann ist alles alles gemacht das heißt es geht um das Konzept Ehe und das sozusagen das was in deutschen Recht für ehepartnerschaften gilt soll eins zu ein auch für wie nennst du das freundschafteneld nein das W ein bisschen zu krass also ich meine bei der Ehe hast ja echt alles von der Wiege bis zur Barre ab abgesichert also das ist ja glaube ich der folgchwerste Vertrag den überhaupt mit im deutschen Staat schließen kannst irgendwie die Ehe also ich war die ganzen Stationen um Einkommen um Rente um Pflege um Kinder das ist ja alles mit drin also ich habe schon so eine Vision eigentlich davon daf die sch sofort zum Anfang schon so droppen will ich jetzt wissen ja ja cool okay also ich würde mir eigentlich wünschen dass es in Zukunft so eine Art Baukastenprinzip geht gehst aufs Amt und sagst pass mal auf ich hätte gern das Modul Pflege oder das Modul Kinder also wenn ich einfach weiß schau mal hier ich habe eine Freundin oder so die ist chronisch krank ich weiß einfach irgendwann wird das auf uns zukommen dass wir in eine pflegeverantwortung gehen warum kann ich aufs Amt gehen und das einfach mit einem mit einer Unterschrift und ein paar Euro Regeln super Idee also wir haben das bei der Linken immer Wahlverwandtschaften genannt ne und da habe ich dann auch immer z.B WGs drunter gefasst oder auch meine meine eigene Geschichte ist ja auch patchwk Familie genau meine ja auch ist auch me Hintergrund und ich denke mir so warum nicht das ein bisschen modularisieren die Ehe ist ja so Z sagen wäre die Form wenn man alle Pakete zusammennimmt das kommt natürlich trotzdem irgendwann seine Grenzen ich habe z.B die letzten zwei Jahre in telaviv gelebt und das zweite Jahr war auch meine Frau mit ihrer Tochter da und das ging nur weil wir ein Ehevertrag hatten also weil wir richtig geheiratet haben weil sonst hätte sie gar keine Erlaubnis von Israel bekommen das heißt da ist sei natürlich das in diesem modularen Prinzip dann auch drin ist okay gemeinsamer Pass oder was auch immer oder im Ausland als Ehepartner auftreten dürfend oder so finde ich das auch super du kommst auch auser patchwack Familie erzähl mal ganz kurz wie war das ja ich komme eh aus so einer riesigen Familie ich bin ja Drilling hab noch Zwillingsgeschwister mein Vater ist adoptiert das heißt wir hatten immer sechs Omas Opa sozusagen dann halt noch fünf Stiefgeschwister weil meine beiden Eltern noch Mal geheiratet haben also es ist ein bisschen crazy ja aber das ist halt die Normalität gewesen und ich glaube auch die Normalität eh von vielen Leuten also die die klassische Kernfamilie und so das ist von Anfang an Quatsch gewes sehr witzig du warst Kind in der patchwack Familie ich war Vater in der patchwack Familie also es war auch irgendwie meine frühere Frau wir hatten drei Kinder eins von ihr eins von mir eins gemeinsam jetzt habe ich noch mal geheiratet und das ist jetzt tatsächlich so ich bin ja gerade Opa geworden so und für dieses Enkelkind gibt's glaube ich tatsächlich drauer für Omas und Opas jeweils so und ich meine wenn man da jetzt einfach noch Freundschaften dazu denkt also in meiner Familie war es ja Standard ich meine meine Mutter die war so Mitte 20 da hatte die einfach fünf Kinder WoW und Z war gleich Alter also ich meine natürlich waren da immer Freundin mit dabei und ich war aus dem Dorf die Nachbarin und so weiter sonst wä das gar nicht gegangen also Familie nur also alleine oder zu zweit groß ziehen das ist eine krasse Leistung aber das Kön nicht als Standard voraussetzen ne ne gen oder als erstrieben wä das ideal da ja das die Burnout Maschine total du kommst aus ein patchack Familie du stellst dir das vor jetzt dieses Freundschaften dieses modulesystem aber wie stellst du dir denn dein Leben vor wie möchtest du jetzt leben also oder wie du gerade und ist das so wie Du willst oder was sind so deine Vorstellung ja also ich bin glaube ich allgemeinen Mensch der sehr viel in und durch Beziehungen denkt und lebt und handelt und sich danach auch ausrichtet also ich meine ich bin auch Teil von der Korean Community und das war ja von Anfang an einfach ein Teil meiner Sozialisierung als ich bin auf dem Dorf groß geworden al richtiges kukraf also so richtig 150 Einwohnerin das war wirklich kein kein Spa da gab es mehr viel als Mensch da war eure Familie die Hälfte des Dorfes sozusagen ja wir haben richtige klanstrukturen wir auch so kommunalpolitisch sind relativ umdreeb würde ich sagen und klar RE von der Anzahl weiß noch als wir ausgezogen sind aus dem Dorf auch da hat der Bürgermeister uns gefragt ob wir bitte nicht ausziehen weil das Dorf dann unter eine gewisse Einwohner in Grenze fällt und dann gibt's da weniger Geld davon Kreise od weiß Gott was und so mus vorstellen aus Berlin rausziehen dann kommt Bürgermeister und sagt bitte ziehen Sie nicht weg wir brauchen Sie hier ist se spannend ja eigentlich gar nicht nee aber ich hab natürlich schon auch gemerkt natürlich wenn wenn man merkt D eigene sexuelle Begehren entwickelt sich und man ist damit ein bisschen sehr allein auch auf dem Dorf und natürlich wir leben jetzt nicht mehr in 50ern oder so das sind andere Zeiten aber es gibt durchaus noch diesen Mantel des Schweigens und dann kommt man in der Stadt und merkt einfach ah krass es geht irgendwie auch anders und gerade in quean Communities wird ja diese Form von Wahlverwandtschaft und wfilien schon viel viel länger und doch viel viel intensiver diskutiert da werden ja teilweise Leute aus ihren Familien auch verstoßen be mir nicht der Fall aber einfach Familien grundsätzlich offener zu denken sowohl aus meinem Hintergrund einer Großfamilie als auch eben als Teil einer Iren Gemeinschaft fin ich das ganz ganz wichtig hab jetzt gerade mal so die Frage hast du schon mal belügt wie geht das praktisch also was wäre jetzt deine Erwartung an die Linke was könnte ich da praktisch tun also so was wäre der erste Schritt dahin also es geht ja auch um also wir sind z.B gegen dieses Ehegattensplitting ne also alles was sozusagen diese klassische Ehe bevorzugt von anderen finde ich nicht gut wir sind schon dafür dass es da natürlich steuerliche Erleichterung gibt aber warum nicht auch für andere Modelle ich meine EG splitting ist ja an sich eigentlich keine vielleicht die Idee zu sagen na gut wenn mensch sich entscheidet ich möchte so in in eine Familienverantwortung gehen und ich möchte auch ein Großteil der häuslichen Arbeit übernehmen dass man das auch begünstigt weil das auch ein krasser Schritt ist für eine Familie kann man ja so sehen aber wenn das halt trifft auf eine Welt wo es halt einen übertriebenen genderpaygeld gibt dann ist es halt klar dass das einzig und allein eine Benachteiligung von Frauen wird und wenn die dann noch weniger Rentenansprüche haben weil die weniger gearbeitet haben zumindest unarbeit ja dann hast du halt den Salat ich war in meine Zeitlang ja in Thüringen wo die Linke mitregiert und habe da wirklich dann auch angesätzen mitgeschrieben und da musst du alle Sonderfälle mitdenken dann sprichst du irgendwie auch mit verschiedenen Interessensgemeinschaften und hast du hinterer so ein komplexes System wo du auf dem ersten Moment sagt irgendwie ja wir wollen das das machen wir so und plötzlich wird's komplizierter aber das gibt doch wenn ich das richtig weiß gibt es doch schon so ein Gesetzentwurf also als es die Ampel noch gab hat doch die FDP mal so einen Gesetzesentwurf zur Verantwortungsgemeinschaft vorgelegt der Begriff der verantwortungsgemein ist wen ich mich recht in Sinne auch der FDP begegriff der hatte ja in allen Wahlprogrammen außer natürlich CDU und AFD also oheres Wunder hat er ja Eingang gefunden ich finde den Begriff von der FDP Verantwortungsgemeinschaft auch eigentlich ziemlich gut also ist unabhängig von dem wie die FDP den sieht ich meine bei der FDP ist ja mehr so na ja lass doch in Freundschaften mehr Pflege leisten dann müssen wir nicht mehr Geld in die Pflege stecken also das ist da muss man B bisschen aufpassen also wenn man so laut für Verantwortungsgemeinschaften ist muss man immer sagen aber die Pflege soll deswegen nicht nur in Freundschaften ausgelagert werden das wollte ich noch ja ja mit sagen aber ich finde halt bei diesem ich meine es war so ein großer Plan ich habe gedacht so ja endlich wird's mal angepackt und es muss auch mal kommen und na ja dann ist stellt sich halt doch raus ist sehr komplex es ist ein sehr umfangreiches Thema Familienpolitik ist auch ein bisschen unsexy keine Ahnung ist irgendwie vielleicht ein bisschen zu äh auch speziell und die großen Themen Krieg und Frieden Migration kann man alles machen aber das fällt dann hinten runter das haben wir ja gesehen also ich habe davon nicht mitbekommen dass das irgendwie mehr vorangetrieben worden ist überhaupt nicht nee nee also was mir an diesem Gesetzentwurf noch aufgefallen ist da geht eben genau so bald zum Steuer geht ist vorbei ne also da soll Privilegierung der Ehe und dann hat das alles keinen Sinn ne weil natürlich ist genau das Finanzielle das entscheidende für ganz viele Leute und wenn du das nicht machst dann hast du das Modul dann ne das eine oder das andere aber wo es dann an ans harte Geld geht äh da finde ich muss man auch alle Möglichkeiten und wenn es auch drei sind das müssen nicht im nur zwei sein kann ja auch sagen wir drei wollen hier füreinander da sein und nehmen alle Module gleichzeitig finde ich kein Problem und wenn es geht nicht darum die Ehe jetzt abzuschaffen also klar wenn es mir gegangen wäre hät ich sie eingetragene Lebenspartnerschaft genannt das fand ich eher den neutraleren Begriff der ist nicht so belastet sag ich mal historisch wie die Ehe das ja so ein Kampfbegriff auch irgendwie gibt ja radikale Stimmen die sagen die Ehe müssen wir komplett irgendwie als Institution zertrümmern nicht mir so meine Güte also rechtlich hat die schon irgendwie ihren Sinn das muss man nicht gegeneinander ausspielen also wenn man die also sozusagen Wahlverwandtschaften eröffnet als rechtliche Option da da wird ja niemand was weggenommen also das Fin ich so eine komische Debatte das finde ichal weil viele Leute wollen es ja auch genauso und finde ich auch in Ordnung und wollen auch schöne Hochzeit feiern will ich auch ja got dasen V und dass du einfach sagst also wir haben die Wahlverwandtschaften wir haben die Module und wer alle nimmt das nehmen wir denn eh und das ist auch besonders privilegiert weil du alles hast wenn wir schon dabei sind Ehe zu feiern ich meine das jetzt nicht so eine große politische Setzung aber wir können auch Freundschaften feiern g ja finde ich auch das ist glaube ich auch das das zweite das eine ist sozusagen was heißt das Hardcore rechtlich ne eben auch aber auch für Erbschaften was heißt es aber auch für Pflege Gesundheit und so aber auch wenn jemand jetzt plötzlich im Koma liegt ne dann gibt's ja auch Entscheidung das kann ja alles zu den Modulen gehören aber das andere ist ja neben dem rechtlichen auch ich sag das kulturelle voll und das das geht ja auch ininander zusammen also wenn ich jetzt wirklich sage hey wir eröffnen in Freundschaften die Möglichkeit auch gemeinsam Kinder gro zuen was ja in der Realität eben schon passiert in patchwack Familien oder in größeren Familien aber das einfach noch mal auch noch mal ein rechliches Thema aufmachen und das ermöglichen das in die politische Debatte einbringen das heißt ja auch dass in Zukunft Menschen sagen hey ich möchte Kind haben mit meinem Partner meiner Partnerin oder vielleicht auch als als also ich ich mit mir selber ich möchte meine Freundschaften einbeziehen und dann wden plötzlich Gespräche geführt und Entscheidungen über Kinder werden nicht nur getroffen halt nur zwei Personen Mutter Vater sondern vielleicht auch einfach in inm in einem größeren Rahmen was würde das mit Freundschaften verändern wenn wir auf unsere Freundschaften zugehen und sagen hey kannst du das Vorstellen wä das nicht was ich habe diese Gespräche geführt weil ich sozusagen so leben möchte und es mir nicht vorstellen kann Kinder irgendwie alleine nur in so dieser kernst also kernstfilie wen mal steigern möchte irgendwie gruszuziehen und das waren sehr intime Gespräche die sie so auch nie geführt haben weil das einfach überhaupt keine kulturelle Selbstverständlichkeit ist Freundschaften so mitzudenken ich habe ja selbst diese Geschichte meine Schwester die ist z Jahre älter als ich die ist relativ früh schwanger geworden also wollte auch ne wollte Kind die war da ich glaube 22 od wirklich ganz jung und da habe ich weil ich auch immer Bock auf Kinder hatte sie hat in der frauenwege gewohnt waren da glaube ich zu dritt und ich habe gesagt okay ich will da auch mit dabei sein ähm und habe fest von der Geburt an sozusagen immer einen Wochentag gemacht und das bis die erwachsen waren so ne das war auch für mich so ernsthaft dass ich gesagt habe bestimmte Dinge kann ich nicht machen jetzt einfach mal woanders hinziehen und so ähm die drei hatten natürlich hauptsächlich die mütterrolle aber trotzdem war das in so einer Abstufung auch noch mal eine völlig andere Art der Verabredung alles ohne dieses äh wahlgemeinschaften versetz od wahlverwand esetz und so weiter aber natürlich hätte das wahnsinnig geholfen ich meine wie schwierig ist das wenn du sozusagen nur eine Mutter ist rechtlich die Mutter die anderen beiden sind real genauso dürfen aber viele Entscheidung nicht treffen und so und das wäre natürlich viel viel besser wenn die drei oder vielleicht sogar mit mir als vierten das gemacht hätten damals und me diese Verbindlichkeit die ja dann auch damit einhergeht schafft ja auch eine Bindung also ich meine beständiger Kontakt mit dem auch einach Entscheidung getroffen werden können also solche Art Verantwortung zu übernehmen das macht ja auch was in der Beziehung zu dem Kind zu dem Kind mit dem Kind auch und so und für für die war das völlig normal zu sagen ja das sind meine drei Mütter ich super immer noch mal eine Frage hast du eigentlich bestimmte Vorbilder in dieser Frage also im Frage Patchwork wahverwandschaften ja das ist interessant also Vorbilder schein ja irgendwie so ein Ding zu sein die wichtig sind ich weiß nicht ich glaube ich bin von meiner ganzen charakterlichen Grundstruktur irgendwie so nicht so der Fan also gibt ja Leute die so richtig also auch so Bands oder Filme oder richtig darauf abfahren irgendwie habe ich das nicht bei mir ist ähm mein mein Kopf oder oder die Art und Weise wie ich geworden bin der ich bin ein riesiger Flickenteppich an an an Gedanken und Taten und so also viele mikrovorbilder wo ich gesagt ah das war cool aber ich habe die Person dahinter total vergessen sehr cool bei mir ist es anders ich habe tatsächlich zwei Vorbilder sind wirklich Personen die kein Mensch kennt also die in meinem persönlichen Leben und die eine die ist wirklich völlig absurd das war die Direktorin an der Schule meiner Kinder UHA und zwar weil die nämlich irgendwann sagte sie im Elternrat da war ich im Elternrat sagte sie so sie will jetzt mal eine Arbeitsgruppe machen mit SchülerInnen Eltern und Lehrerin wo alle mal Traumschule spielen so wir vergessen alle unsere Grenzen und so wir haben natürlich enges korser sondern einfach mal was wäre denn toll und dann hat sie das ein Jahr lang gemacht die hatten dann echt ein Konzept entwickelt völlig irre und dann hat sie gesagt und dafür bewundere ich sie bis heute jetzt machen wir das mm das heißt sie hat den Leuten erst den absoluten denkfreiraum gegeben und dann hat sie gesagt jetzt kämpfen wir damit jede einzelne Barriere die es gibt wegkommt und die hat dann sondererlaubnisse bekommen die hat Gelder gekriegt dafür Preise gewonnen nachher dafür es war schon abgefahren also zwei meine Kinder waren auf der Schule war schon gewöhnungsbedürftig als Eltern aber am Ende super Konzept und dafür dass die einfach dann irgendwann gesagt hat und jetzt machen wir das dafür liebe ich sie bis heute sehr inspirierend die Geschichte letzte Frage willst du mir noch was mit auf dem Weg geben was soll ich anders machen was soll ich besser machen oder wo soll ich bei bleiben allgemein würde ich sagen vor allem auf tiktok nicht der AFD das Feld zu überlassen ich denke dass ist die Linke auf de guten Weg was die Social Media Strategien angeht aber Luft nach oben gibt's immer deswegen kann ich das auf jeden Fall mitgeben danke dir Ole danke dass du die Zeit genommen hast und danke für deine Unterstützung und mach's gut
0,dMsLrHjdTno,Wir sind mit euch die Brandmauer! #dielinke,2025-01-30T17:51:47Z,,DIE LINKE,https://www.youtube.com/watch?v=dMsLrHjdTno,in diesem Moment dachte ich mir krass das passiert hier gerade man wusste genau was passiert und hat diesen Antrag so gestellt ja das hier ist gerade passiert die AFD J die März CDU macht sich über mich lustig und ich halte diese Rede und diese Leute pöbeln und schreien und zeigen eigentlich schon recht deutlich wo das mal hinführen soll was sie von Menschen halten die die Demokratie weiter verteidigen braucht erst Moment um mich zu erholen bin dann hier auf dem Weg zu euch gekommen und bin einfach so dankbar dass diese Veranstaltung heute stattfindet es mag sein dass die der Union gefallen ist aber die brandmau in diesem Land das sind wir wir alle hier nicht nur in diesem Raum sondern auch da draußen wir alle die wir immer wieder aufstehen und laut rufen menschenrechte sind unteilbar es ist noch nicht vorbei jetzt gilt es jetzt müssen wir kämpfen gegen Rechts für eine starke linke für eine soziale und solidarische Politik einen anderen Weg gibt es nicht whrt euch leistet Widerstand gegen den Faschismus in dem Land auf die Barrikaden wir alle auf die Barrikaden leistet Widerstand gegen den Faschismus hier im Land
0,l7bWsE_fMxI,Die WICHTIGSTE Rede Über Den Pakt Von Merz Und AfD! Heidi Reichinnek Spricht KLARTEXT!,2025-01-29T21:11:43Z,"Friedrich Merz bricht sein Versprechen und arbeitet offen mit der AfD zusammen. Am Freitag will er im Bundestag gemeinsam mit ihr einen Antrag im Bundestag einbringen. Damit verschafft er der rechtsradikalen Partei Einfluss auf die Gesetzgebung und ebnet den Weg für zukünftige Koalitionen mit der AfD!

Wir verteidigen die Demokratie – notfalls auch gegen die Merz-CDU!",DIE LINKE,https://www.youtube.com/watch?v=l7bWsE_fMxI,herigen Sie sich bitte ja danke schön alle politischen Differenzen zum Trotz hätte ich mir niemals vorstellen können dass eine christlich demokratische Partei eine christlich demokratische Partei diesen dambbru vollzieht und mit rechtsextremaktiert das ist was sie tun und ich s ihnen sie haben die Mehrheit mit derd nicht Kauf genmen heit sie haben diese Mehrheiten gesucht geminsam mit der FDP haben sie diese Mehrheiten gezielt gesucht und das ist das verdammte Problem und sie verstehen es B jetzt noch nicht und das nur zwei Tage zwei Tage nachdem wir hier der Befreiung von Auschwitz gedacht haben zwei Tage nachdem wir den ermordeten und gequälten gedacht haben arbeiten sie mit denen zusammen die genau diese Ideologie jetzt weitertragen und ihre Kommentare die ich gerade schon höre die sagen verdammt viel über sie a der Jubel den sie da die ganze Zeit mitbekommen der zeigt doch wem sie hier gerade in die Karten gespielt haben und die Menschen werden am Ende immer das Original wählen immer und wenn Sie sich jetzt wirklich von der Union noch hinstellen und sagen Sie alle sie demokrattin hätten ja zustimmen können also abgesehen davon dass sie nie Zusammenarbeit angeboten haben uns ja sowieso nicht weil mit rechtsextrem Bier trinken kein Problem aber mit Leuten die Menschenrechte für alle wollen da ist natürlich Grenze für sie ist klar abgesehen davon diese Gesprächsangebote nie g die sagen jetzt wirklich wir machen jetzt hier so einen rassistischen und rechtswiedrigen Antrag und wenn sie jetzt alle nicht zustimmen ja dann können wir halt nicht anders dann müssen wir mit den Rechtsextremen arbeiten was ist das denn für eine erbärmliche Aussage ich sage Ihnen sie machen sich zum Steigbügelhalter damit und sie haben dieses Land heute zum Schlechteren verändert und ich wiederhole das was ich in meiner Rede gesagt habe egal wie sehr sie es versuchen die brandm in diesem Land das sind immer noch wir und wir alle wir werden auf die Straßen gehen wir alle werden an die Wahlen gehen und das kann ich Ihnen versprechen wir werden dafür sorgen dass das jetzt hier ein Ende hat und ich sage auch an die Adresse von SPD und grün schließt eine Koalition mit dieser Union aus es kann euch nur schaden aber ich sage auch den Menschen da draußen gebt nicht auf sondern whrt euch leistet Widerstand gegen den Faschismus in im Land auf die marikanen [Applaus] [Musik]
0,5WE5pdFbpnM,Heidi Reichinnek Greift Friedrich Merz FRONTAL An! #shorts,2025-01-29T20:44:52Z,,DIE LINKE,https://www.youtube.com/watch?v=5WE5pdFbpnM,aller politischen Differenzen zumtrotz hätte ich mir niemals vorstellen können dass eine christlich demokratische Partei eine christlich demokratische Partei diesen dambruck vollzieht und mit rechtsextrem paktiert das ist es was sie tun und ich sage Ihnen sie haben die Mehrheit mit der AFD nicht in Kauf genommen das sind keine zufallsmehrheiten sie haben diese Mehrheiten gesucht gemeinsam mit der FDP haben sie diese Mehrheiten gezielt gesucht und das ist das verdammte Problem und sie verstehen es bis jetzt noch nicht und das nur zwei Tage zwei Tage nachdem wir hier der Befreiung von Auschwitz gedacht haben zwei Tage nachdem wir den ermordeten und gequälten gedacht haben arbeiten sie mit denen zusammen die genau diese Ideologie jetzt weitertragen und ihre Kommentare die ich hier gerade schon höre die sagen verdammt viel über Sie aus und der Jubel den sie da die ganze Zeit mitbekommen der zeigt doch wem sie hier gerade in die Karten gespielt haben und die Menschen werden am Ende immer das Original wählen und wenn Sie sich jetzt wirklich von der Union noch hinstellen und sagen Sie alle sie DemokratInnen hätten ja zustimmen können also abgesehen davon dass sie nie eine Zusammenarbeit angeboten haben uns ja sowieso nicht weil mit rechtsextremen Bier trinken kein Problem aber mit Leuten die Menschenrechte für alle wollen da ist natürlich eine Grenze für sie ist klar abgesehen davon dass es diese Gesprächsangebote nie gab sie sagen jetzt wirklich wir machen jetzt hier so einen rassistischen und rechtswidrigen Antrag und wenn sie jetzt alle nicht zustimmen ja dann können wir halt nicht anders dann müssen wir mit den Rechtsextremen arbeiten was ist das was denn für eine erbärmliche Aussage ich sage Ihnen sie machen sich zum Steigbügelhalter damit und sie haben dieses Land heute zum Schlechteren verändert und ich wiederhole das was ich in meiner Rede gesagt habe egal wie sehr sie es versuchen die brandm in diesem Land das sind immer noch wir und wir alle wir werden auf die Straßen gehen wir alle werden an die Wahlen gehen und das kann ich Ihnen versprechen wir werden dafür sorgen dass das jetzt hier ein Ende hat und ich sage auch an die Adresse von SPD und grün schließt eine Koalition mit dieser Union es kann euch nur schaden aber ich sage auch den Menschen da draußen gebt nicht auf sondern werrt euch leistet wierstand gegen den Faschismus in im Land auf die mariken [Applaus] [Musik]
